"Telaahan Tren Isu Kementan_Periode Januari 2013";;;"Biro Umum Dan Pengadaan";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Humas/01. Telaahan Tren Isu Kementan_Periode Januari 2013.pdf"
"Telaahan Tren Isu Kementan_Periode Mei 2013";;;"Biro Umum Dan Pengadaan";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Humas/05. Telaahan Tren Isu Kementan_Periode Mei 2013.pdf"
"Telaahan Tren Isu Kementan_Periode April 2013";;;"Biro Umum Dan Pengadaan";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Humas/04. Telaahan Tren Isu Kementan_Periode April 20132.pdf"
" Telaahan Tren Isu Kementan_Periode Juli 2013";;;"Biro Umum Dan Pengadaan";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Humas/07. Telaahan Tren Isu Kementan_Periode Juli 2013.pdf"
"Budidaya Bawang Merah";;;"Direktorat Jenderal Hortikultura";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Budidaya/Budidaya Bawang Merah.pdf"
"udidaya Bawang Putih";;;"Direktorat Jenderal Hortikultura";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Budidaya/Budidaya Bawang Putih.pdf"
"Budidaya Bunga Potong Sedap Malam";;;"Direktorat Jenderal Hortikultura";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Budidaya/Budidaya Bunga Potong Sedap Malam.pdf"
"Budidaya Cabe Rawit";;;"Direktorat Jenderal Hortikultura";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Budidaya/Budidaya Cabe Rawit.pdf"
"Budidaya Cordyline";;;"Direktorat Jenderal Hortikultura";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Budidaya/Budidaya Cordyline.pdf"
"Budidaya Jamur Tiram";;;"Direktorat Jenderal Hortikultura";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Budidaya/Budidaya Jamur Tiram.pdf"
"udidaya Jeruk Besar";;;"Direktorat Jenderal Hortikultura";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Budidaya/Budidaya Jeruk Besar.pdf"
"Budidaya Maju Markisa";;;"Direktorat Jenderal Hortikultura";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Budidaya/Budidaya Maju Markisa.pdf"
"Budi Daya Padi Sawah.pdf";;;"Direktorat Jenderal Tanaman Pangan";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Budidaya/Budi Daya Padi Sawah.pdf"
"udidaya Serai Wangi";;;"Direktorat Jenderal Perkebunan";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Budidaya/Budidaya Serai Wangi.pdf"
"Budidaya Terung.pdf";;;"Direktorat Jenderal Hortikultura";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Budidaya/Budidaya Terung.pdf"
"Pedoman Produksi Bersih Aman dan Ramah Lingkungan Untuk Olahan Peternakan";;;"Direktorat Jenderal Peternakan Dan Kesehatan Hewan";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Budidaya/Pedoman Produksi Bersih Aman dan Ramah Lingkungan Untuk Olahan Peternakan.pdf"
"Undang-Undang Iinformasi dan Transaksi Elektronik No.11 Thn 2008";;;"Biro Hubungan Masyarakat dan Informasi Publik";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Undang-undang/Undang-Undang Iinformasi dan Transaksi Elektronik No.11 Thn 2008.pdf"
"Telaahan Tren Isu Kementan_Periode Juni 2013";;;"Biro Umum Dan Pengadaan";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Humas/06. Telaahan Tren Isu Kementan_Periode Juni 2013.pdf"
"Statistik Perkebunan Kopi.pdf";;;"Direktorat Jenderal Perkebunan";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Statistik Perkebunan/Statistik Perkebunan Kopi.pdf"
"Statistik Perkebunan Lada.pdf";;;"Direktorat Jenderal Perkebunan";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Statistik Perkebunan/Statistik Perkebunan Lada.pdf"
"Statistik Perkebunan Tea.pdf";;;"Direktorat Jenderal Perkebunan";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Statistik Perkebunan/Statistik Perkebunan Tea.pdf"
"Statistik Perkebunan Tebu.pdf";;;"Direktorat Jenderal Perkebunan";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Statistik Perkebunan/Statistik Perkebunan Tebu.pdf"
"Laporan PPID Utama Tahun 2013.pdf";;;"Biro Hubungan Masyarakat dan Informasi Publik";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Laporan Tahunan PPID/Laporan PPID Utama Tahun 2013.pdf"
"Daftar Informasi Publik Dikuasai lingkup Kementan 2014";;;"Biro Hubungan Masyarakat dan Informasi Publik";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Daftar IP Yang Dikuasai Lingkup Kementan/Informasi Publik yang Dikuasai Thn 2014/Daftar Informasi Publik Dikuasai lingkup Kementan 2014.pdf"
"Kepmentan PPID Utama dan PPID Pelaksana Eselon I.pdf";;;"Sekretariat Jenderal";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Keputusan Menteri/Kepmentan PPID Utama dan PPID Pelaksana Eselon I.pdf"
